References,Qty,Description,Manufacturer,MPN,Manufacturer_1,MPN_2,Digikey,Mouser,RS,Newark,Farnell
MCU,1,Arduino Nano,Arduino,A000087,Arduino,A000005 ,,,696-1667,,
J8,2,Headers 15 pin 1 row,Samtec inc,SSA-115-S-T ,Samtec Inc,SSW-115-01-T-S ,,,180-4101,,
RV1;RV2;RV3;RV4,4,10k/50mw/20%,Alps,RK09K1130AH1 ,,,,,729-3587,,
BZ1,1,25V 75dB,Murata,PKMCS0909E4000-R1,,,,,167-5001,,
J1;J2;J3;J4;J5,5,female PCB conn,RS pro,546-4027,,,,,546-4027,,
SW1,1,12V 50ma,TE connectivity,4-1437565-1,,,,,479-1508,,
D2,1,617nm 2V 20mA,BroadCom,HSMF-C155,,,,,486-0430,,
C1,1,100V 1nf 5%,Kemet,C1206C102KDRACTU,,,,,500-2528,,
"R1,R4",2,250V 10k 250mW 1%,Vishay,CRCW120610K0FKEA,,,,,679-1765,,
R2,1,250V 47ohm 250mW 1%,TE connectivity,CRG1206F47R,,,,,223-2085,,
R3,1,250V 10ohm 250mW 1%,TE connectivity,CRG1206F10R,,,,,223-1997,,
D1,1,visible spectrum,Osram,BP 104 S-Z,,,,,654-8148,,
J6,1,Barrel Jack,Cliff,FC68148 DC10A,,,,,,,
