Designator,Manufacturer Part Number or Seeed SKU,Qty,Link
J7,102010268,1,https://www.seeedstudio.com/Seeeduino-Nano-p-4111.html
"J7,J8",SSA-115-S-T ,2,https://www.digikey.co.uk/products/en?keywords=SSA-115-S-T
RV1;RV2;RV3;RV4,RK09K1130AH1 ,4,https://uk.farnell.com/alps/rk09k1130ah1/pot-rotary-10k-17mm-20/dp/1191725?CMP=GRHB-OCTOPART
BZ1,PKMCS0909E4000-R1,1,https://www.digikey.co.uk/product-detail/en/murata-electronics/PKMCS0909E4000-R1/490-9647-1-ND/4878401
J1;J2;J3;J4;J5,546-4027,5,https://uk.rs-online.com/web/p/coaxial-connectors/5464027/?sra=pstk
SW1,4-1437565-1,1,https://www.digikey.co.uk/product-detail/en/FSM4JSMA/450-1129-ND/525821?utm_campaign=buynow&WT.z_cid=ref_octopart_dkc_buynow&utm_medium=aggregator&curr=gbp&site=us&utm_source=octopart
D2,HSMF-C155,1,https://www.digikey.co.uk/product-detail/en/HSMF-C155/516-1456-1-ND/637780?utm_campaign=buynow&WT.z_cid=ref_octopart_dkc_buynow&utm_medium=aggregator&curr=gbp&site=us&utm_source=octopart
C1,C1206C102KDRACTU,1,https://www.digikey.co.uk/product-detail/en/C1206C102KDRACTU/399-3437-1-ND/721308?utm_campaign=buynow&WT.z_cid=ref_octopart_dkc_buynow&utm_medium=aggregator&curr=gbp&site=us&utm_source=octopart
"R1,R4",CRCW120610K0FKEA,2,https://www.digikey.co.uk/product-detail/en/CRCW120610K0FKEA/541-10.0KFCT-ND/1181874?utm_campaign=buynow&WT.z_cid=ref_octopart_dkc_buynow&utm_medium=aggregator&curr=gbp&site=us&utm_source=octopart
R2,CRG1206F47R,1,https://www.digikey.co.uk/products/en?keywords=CRG1206F47R
R3,CRG1206F10R,1,https://www.digikey.co.uk/products/en?keywords=CRG1206F10R
D1,BP 104 S-Z,1,https://www.digikey.co.uk/product-detail/en/Q65110A2626/475-1345-1-ND/1227851?utm_campaign=buynow&WT.z_cid=ref_octopart_dkc_buynow&utm_medium=aggregator&curr=gbp&site=us&utm_source=octopart
J6,FC68148 DC10A,1,https://uk.farnell.com/cliff-electronic-components/fc68148/socket-pcb-dc-power-2-1mm-pk10/dp/224959?CMP=GRHB-OCTOPART
